Abbreviation,Meaning
AAV,adeno-associated virus
ACSL3,acyl-CoA synthetase long chain family member 3
ADP,adenosine diphosphate
AKT,"AKT serine/threonine kinase; protein kinase B" \footnote{"(ref:AKT-footnote)"}
ALS,amyotrophic lateral sclerosis
ANXA11,annexin A11
ARF6,ADP ribosylation factor 6
ARL8B,ADP ribosylation factor like GTPase 8B
ARMCX1,armadillo repeat containing X-linked 1
ATF3,activating transcription factor 3
BCAP31,B cell receptor associated protein 31; BAP31
BODIPY,boron-dipyrromethene
BORC,BLOC1-related complex
BSA,bovine serum albumin
cAMP,cyclic adenosine monophosphate
CC,coiled-coil (protein motif)
CJUN,cellular homolog of viral oncogene v-jun; c-Jun
CMV,cytomegalovirus
CNS,central nervous system
COPII,coat protein complex II
DIV,days in vitro
DRG,dorsal root ganglion
EFA6,exchange factor for ADP-ribosylation factor guanidine nucleotide factor 6
EGFP,enhanced green fluorescent protein
ER,endoplasmic reticulum
ERES,ER exit sites
ERGIC,ER-Golgi intermediate compartment
ERGIC53,"ERGIC protein 53 (homolog of p58); LMAN1"
ESCargo&nbsp;(FTV),Erv29/SURF4-dependent secretory cargo with FTV export tripeptide
FFAT,two phenylalanines (FF) in an acidic tract (protein motif)
FYCO1,FYVE and coiled-coil domain autophagy adaptor 1; ZFYVE7
FYVE,FAB1 YOTB VAC1 EEA1 zinc finger domain (protein motif)
GABA,gamma-aminobutyric acid
GAPDH,glyceraldehyde-3-phosphate dehydrogenase
GLG1,Golgi glycoprotein 1
GM3,monosialodihexosylganglioside
GO,gene ontology
GS28,28 KDa Golgi SNARE protein; GOSR1
GTPase,guanosine triphosphatase
HeLa,human carcinoma cell line
HSP,hereditary spastic paraplegia
JIP3/4,JNK-interacting proteins 3/4
KIF5,kinesin family member 5
KLF,Krüppel-like factor
LAMP1,lysosomal associated membrane protein 1
LC3,microtubule-associated protein 1A/1B light chain 3
LRRK2,leucine rich repeat kinase 2
MAG, myelin-associated glycoprotein
MCS,membrane contact sites
MIA3,melanoma inhibitory activity protein 3; TANGO1
MMP-9,matrix metalloproteinase 9
mRFP,monomeric red fluorescent protein
mRNA,messenger ribonucleic acid
mTOR,mechanistic/mammalian target of rapamycin kinase
mTORC1,mTOR complex 1
p115,general vesicular transport factor p115; USO1
PBS,phosphate-buffered saline
PC12,rat pheochromocytoma cell line
PCR,polymerase chain reaction
PI3K,phosphatidylinositol-3 kinase
PIP,phosphatidylinositol phosphate
PKA,protein kinase A
PM,plasma membrane
PNS,peripheral nervous system
RAB11,Ras-related protein Rab-11a
RAB7,Ras-related protein Rab-7a
RBD,RAB-binding domain
RBPMS,RNA binding protein with multiple splicing (RGC marker)
RGC,retinal ganglion cell
RILP,RAB interacting lysosomal protein
ROI,region of interest
RTN3,reticulon 3
SAR1,secretion associated Ras related GTPase 1
SEC31A,"SEC31 homolog A, COPII coat complex component"
shRNA,short hairpin ribonucleic acid
SKIP,SifA and kinesin interacting protein; PLEKHM2
SLC38A1,solute carrier family 38 member 1
SOCS3,suppressor of cytokine signalling 3
ST3GAL5,"ST3 beta-galactoside alpha-2,3-sialyltransferase 5"
SURF4,surfeit locus protein 4
SYN,synapsin
TANGO1,transport and Golgi organization protein 1 homolog; MIA3
TET1,ten-eleven translocation 1 gene protein
TIMP1,TIMP metallopeptidase inhibitor 1
TRPM8,transient receptor potential cation channel subfamily M member 8 
USO1,USO1 vesicle docking protein homolog; p115
VAPA/B,VAMP associated proteins A/B
WT,wild type
ZFYVE7,zinc finger FYVE domain-containing protein 7; FYCO1
ZFYVE27,zinc finger FYVE domain-containing protein 27; protrudin
